"Order ID","Order Key",Title,"Order Total","Completed Date","Order Status","Discount Amount ","Coupon Code","Coupons Used","Total Discount Amount","Total Fee Amount","Fee Taxes","Refund Total","Refund ID","Refund Amounts","Refund Reason","Refund Date","Refund Author Email"
865,wc_order_5c071dc93dd17,"Order - December 5, 2018 @ 11:37 AM",39.95,,wc-failed,,,,0,,,0,,,,,
868,wc_order_5c07200650780,"Order - December 5, 2018 @ 11:47 AM",0.40,,wc-failed,-35.95,test99hc,test99hc,-35.95,,,0,,,,,
870,wc_order_5c07204818c0f,"Order - December 5, 2018 @ 11:48 AM",0.73,2019-03-27,wc-completed,-71.91,test99hc,test99hc,-71.91,,,0,,,,,
876,wc_order_5c080b8aacf17,"Order - December 6, 2018 @ 04:31 AM",39.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
888,wc_order_5c08f741d843c,"Order - December 6, 2018 @ 09:17 PM",299.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
902,wc_order_5c0fb509deeb0,"Order - December 12, 2018 @ 12:00 AM",159.95,2019-02-28,wc-completed,,,,0,,,0,,,,,
905,wc_order_5c0fff21ed378,"Order - December 12, 2018 @ 05:17 AM",49.95,,wc-cancelled,,,,0,,,0,,,,,
907,wc_order_5c10519fd16f0,"Order - December 12, 2018 @ 11:09 AM",99.95,,wc-pending,,,,0,,,0,,,,,
909,wc_order_5c105a230388a,"Order - December 12, 2018 @ 11:45 AM",49.95,,wc-cancelled,,,,0,,,0,,,,,
911,wc_order_5c1071ad3240d,"Order - December 12, 2018 @ 01:25 PM",49.95,,wc-pending,,,,0,,,0,,,,,
913,wc_order_5c1072091a4a7,"Order - December 12, 2018 @ 01:27 PM",99.95,,wc-pending,,,,0,,,0,,,,,
915,wc_order_5c10726fded5e,"Order - December 12, 2018 @ 01:29 PM",49.95,,wc-pending,,,,0,,,0,,,,,
917,wc_order_5c10728ff1a26,"Order - December 12, 2018 @ 01:29 PM",99.95,,wc-pending,,,,0,,,0,,,,,
919,wc_order_5c1072c33e71b,"Order - December 12, 2018 @ 01:30 PM",159.95,,wc-pending,,,,0,,,0,,,,,
921,wc_order_5c107300870e3,"Order - December 12, 2018 @ 01:31 PM",299.95,,wc-pending,,,,0,,,0,,,,,
923,wc_order_5c107338d411d,"Order - December 12, 2018 @ 01:32 PM",159.95,,wc-pending,,,,0,,,0,,,,,
925,wc_order_5c1073829a105,"Order - December 12, 2018 @ 01:33 PM",299.95,,wc-pending,,,,0,,,0,,,,,
931,wc_order_5c11afaeb3283,"Order - December 13, 2018 @ 12:02 PM",299.95,,wc-cancelled,,,,0,,,0,,,,,
935,wc_order_5c11e5814d69e,"Order - December 13, 2018 @ 03:52 PM",159.95,,wc-pending,,,,0,,,0,,,,,
947,wc_order_5c13137f28e41,"Order - December 14, 2018 @ 01:20 PM",44.96,2019-03-27,wc-completed,-4.99,sorry10,sorry10,-4.99,,,0,,,,,
952,wc_order_5c15794840285,"Order - December 16, 2018 @ 08:59 AM",44.96,,wc-pending,-4.99,sorry10,sorry10,-4.99,,,0,,,,,
954,wc_order_5c15b4f2c559d,"Order - December 16, 2018 @ 01:14 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
960,wc_order_5c171001e1832,"Order - December 17, 2018 @ 01:54 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
968,wc_order_5c190bee1f50f,"Order - December 19, 2018 @ 02:02 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
978,wc_order_5c1a230d61e84,"Order - December 19, 2018 @ 09:53 PM",49.95,,wc-pending,,,,0,,,0,,,,,
980,wc_order_5c1aed933005c,"Order - December 20, 2018 @ 12:17 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
983,wc_order_5c1b20433959e,"Order - December 20, 2018 @ 03:53 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
990,wc_order_5c202bd4172bb,"Order - December 24, 2018 @ 11:44 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
994,wc_order_5c206bc4cbf88,"Order - December 24, 2018 @ 04:16 PM",49.95,,wc-on-hold,,,,0,,,0,,,,,
996,wc_order_5c215b63d8aec,"Order - December 25, 2018 @ 09:19 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1001,wc_order_5c21cfa271838,"Order - December 25, 2018 @ 05:35 PM",49.95,,wc-pending,,,,0,,,0,,,,,
1003,wc_order_5c22e4250351f,"Order - December 26, 2018 @ 01:15 PM",99.95,,wc-pending,,,,0,,,0,,,,,
1008,wc_order_5c242cf9b9e1e,"Order - December 27, 2018 @ 12:38 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1012,wc_order_5c254185438d1,"Order - December 28, 2018 @ 08:17 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1015,wc_order_5c255b854a416,"Order - December 28, 2018 @ 10:08 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1017,wc_order_5c2593ac934d2,"Order - December 28, 2018 @ 02:08 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1022,wc_order_5c28161c901b5,"Order - December 30, 2018 @ 11:49 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1026,wc_order_5c29867e65505,"Order - December 31, 2018 @ 02:01 PM",159.95,,wc-pending,,,,0,,,0,,,,,
1029,wc_order_5c2a81170ec09,"Order - January 1, 2019 @ 07:50 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1032,wc_order_5c2b4fb6e2cf1,"Order - January 1, 2019 @ 10:32 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1037,wc_order_5c2bf75ca3a58,"Order - January 2, 2019 @ 10:27 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1042,wc_order_5c2c48654cc69,"Order - January 2, 2019 @ 04:13 PM",299.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1045,wc_order_5c2c7ba0d0056,"Order - January 2, 2019 @ 07:51 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
